"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref";"Category 1";"Category 2";"Category 3";"Category 4";"Category 5";"Category 6";"Category 7";"Category 8";"Category 9";"Category 10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001044";"AtritResp_E_1to8";"ATRIT _1_8__RESP";"Nursery/Trial evaluation";"Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.";;"BMS_29015";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000082";"Alternaria leaf blight plant response";"Biotic stress traits";"Alternaria leaf blight response in the plants caused by the agent Alternaria triticina.";;"AtritResp";;"Leaf";"Alternaria leaf blight plant response";;;"CO_321:0000304";"AtritResp Estimation";"Estimation";"Standard method for Alternaria leaf blight field response.";;"Duveiller et al., 2012";"CO_321:0000471";"1-8 generic disease field response scale";"Ordinal";"1.0";;;;"0= no visible infection (0)";"MR= moderately resistant (MR), small lesions surrounded by necrotic areas";"I= intermediate (M), lesions of variable size, some necrosis and/or chlorosis";"R= resistant (R), necrotic areas with or without small lesions";"R-MR= resistant to moderately resistance (R-MR)";"S= susceptible (S), large lesions, no necrosis or chlorosis";"MS= moderately Susceptible (MS), medium-sized lesions, no necrosis, but some chlorosis possible";"MS-S= moderately susceptible to susceptible (MS-S)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001045";"AlTol_E_1to9";"ALUTOL_1_9";"Nursery/Trial evaluation";"DS15-DS65";;"BMS_29005";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000079";"Aluminum tolerance";"Abiotic stress traits";"Plant tolerance to aluminum.";;"AlTol";"ALUTOL";"Plant";"Aluminum tolerance";;;"CO_321:0000300";"AlTol Estimation";"Estimation";"Observe the growth of plants per plot/entry in a soil presenting aluminum toxicity and rate the tolerance.";;"Reynolds et al., 2001 (Ch. 15)";"CO_321:0000468";"1-9 TOL scale";"Ordinal";"1.0";;;;"1= highly susceptible";"4= susceptible to moderately susceptible";"5= moderately susceptible";"2=  highly susceptible to susceptible";"3= susceptible";"8= tolerant";"9= highly tolerant";"6= moderately susceptible to moderately tolerant";"7= moderately tolerant";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001046";"AntDmg_E_pct";"ANTDMG_pct";"Trial evaluation";"After the event";;"BMS_29013";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000084";"Ant damage";"Biotic stress traits";"The plant damage caused by ants.";;"AntDmg";;"Plant";"Ant damage";;;"CO_321:0000305";"AntDmg Estimation";"Estimation";"Standard method for ant damage.";;;"CO_321:0000410";"%";"Numerical";"1.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001047";"Ant_date_ymd";"ANTD_yyyymmdd, ANTD, ANTDATE";"Trial evaluation";"Flowering half complete (DS65)";;"BMS_29012";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000121";"Anthesis time";"Phenological traits";"Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.";"Flowering time";"Ant";"Flowering, Flw, A";"Plant";"Anthesis time";;;"CO_321:0000832";"Ant DS65 date Estimation";"Estimation";"Record date of anthesis (DS65) when 50% of spikes have flowered (i.e. at least 1 anther dehisced).";;"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000850";"yyyymmdd";"Time";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001048";"Ant_dto_day";"DTA_days, DAYSAN, ANT";"Trial evaluation";"Flowering half complete (DS65)";;"BMS_22674";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000121";"Anthesis time";"Phenological traits";"Anthesis or flowering time is the period during which a flower is fully open and functional. pollination and fertilization occur during this period.";"Flowering time";"Ant";"Flowering, Flw, A";"Plant";"Anthesis time";;;"CO_321:0000336";"Ant DS65 DT Computation";"Computation";"Number of days required from sowing to when 50% of spikes have flowered (DS65). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.";"xxxx";"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000434";"day";"Duration";"0.0";"40.0";"240.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001049";"AphDmg_E_pct";"APHDMG_pct";"Trial evaluation";"After the event";;"BMS_22924";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000085";"Aphid damage";"Biotic stress traits";"The plant damage caused by various species of aphids.";"DMGAPH";"AphDmg";;"Plant";"Aphid damage";;;"CO_321:0000306";"AphDmg Estimation";"Estimation";"Standard method for aphid damage.";;"Duveiller et al., 2012";"CO_321:0000410";"%";"Numerical";"1.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001050";"AphDmg_E_1to5";"APHDMG_1_5";"Trial evaluation";"After the event";;"BMS_23208";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000085";"Aphid damage";"Biotic stress traits";"The plant damage caused by various species of aphids.";"DMGAPH";"AphDmg";;"Plant";"Aphid damage";;;"CO_321:0000306";"AphDmg Estimation";"Estimation";"Standard method for aphid damage.";;"Duveiller et al., 2012";"CO_321:0000457";"1-5 DMG scale";"Ordinal";"1.0";;;;"1= none (N)";"4= moderate (M)";"5= very severe (V)";"2= trace (T)";"3 = slight (S)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001051";"ArmyWDmg_E_pct";"ARMDMG_pct";"Trial evaluation";"After the event";;"BMS_29014";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000086";"Armyworm damage";"Biotic stress traits";"The plant damage caused by armyworm.";;"ArmyWDmg";"ARMDMG";"Plant";"Armyworm damage";;;"CO_321:0000307";"ArmyWDmg Estimation";"Estimation";"Standard method for armyworm damage.";;"Duveiller et al., 2012";"CO_321:0000410";"%";"Numerical";"1.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001052";"AwnLng_M_cm";"AWNLNG _cm";"Trial evaluation";"DS75-DS89";;"BMS_29018";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000026";"Awn length";"Morphological traits";"Awn length.";;"AwnLng";;"Awn";"Length";;;"CO_321:0000247";"AwnLng  Measurement";"Measurement";"Standard method for awn length.";;;"CO_321:0000411";"cm";"Numerical";"1.0";"5.0";"90.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001053";"BLBInc_E_0to9pcttext";"BLB_0_9text__INC";"Nursery/Trial evaluation";"Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.";"Obsolete/legacy";"BMS_22827";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000931";"Bacterial leaf blight incidence";"Biotic stress traits";"Wheat bacterial leaf blight incidence in the plants caused by the agent pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. Initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless.";"BLB, PSYRI";"BLBInc";"PsyriInc";"Leaf";"Bacterial leaf blight incidence";;;"CO_321:0000346";"BLBInc Estimation";"Estimation";"Standard method for Bacterial leaf blight incidence.";;"Duveiller et al., 1997 (Chapter 3)";"CO_321:0000727";"0-9 percentage scale + text";"Text";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001054";"BLBSev_E_00to99";"BLB_00_99__SEV";"Nursery/Trial evaluation";"Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.";;"BMS_22826";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000932";"Bacterial leaf blight severity";"Biotic stress traits";"Wheat bacterial leaf blight severity in the plants caused by the agent Pseudomonas syringae pv. syringae. symptoms: small (less than 0.04 inches) water-soaked lesions expand and eventually coalesce. initial lesions become necrotic and turn from gray-green to tan-white. Entire leaves may become necrotic, but heads and glumes are typically symptomless.";"BLB, PSYRI";"BLBSev";"PsyriSev";"Leaf";"Bacterial leaf blight severity";;;"CO_321:0000690";"Double digit Estimation";"Estimation";"The method was improved by using two digits, representing the vertical disease progress and an estimate of severity. The first digit gives the relative height of the disease using the original 0-9 Saari-Prescott scale as a measure. The second digit shows the disease severity as a percentage but in terms of 0-9. Because it is difficult to evaluate diseases on dead leaves, disease notes should be taken when at least four leaves are still alive and green (soft to mid-dough growth stage). Then visually evaluate the average percentage severity on only those leaves of the uppermost four that are infected. In practice, the percent severity is estimated on an overall score. The following format is used for scoring severity: 10% coverage = 1, 20% coverage = 2, 30% coverage = 3, 40% coverage = 4, 50% coverage = 5, 60% coverage = 6, 70% coverage = 7, 80% coverage = 8, 90% coverage = 9. The score of 10 is not used.";;"Duveiller et al., 1998, Saari and Prescott, 1975, Eyal et al., 1987,  Duveiller et al., 2012";"CO_321:0000470";"Double digit (00-99)";"Ordinal";"1.0";;;;"27= 20% plant height affected, 70% coverage";"25= 20% plant height affected, 50% coverage";"26= 20% plant height affected, 60% coverage";"19= 10% plant height affected, 90% coverage";"20= 20";"18= 10% plant height affected, 80% coverage";"23= 20% plant height affected, 30% coverage";"24= 20% plant height affected, 40% coverage";"21= 20% plant height affected, 10% coverage";"22= 20% plant height affected, 20% coverage";"96= 90% plant height affected, 60% coverage";"97= 90% plant height affected, 70% coverage";"94= 90% plant height affected, 40% coverage";"95= 90% plant height affected, 50% coverage";"99= 90% plant height affected, 90% coverage";"98= 90% plant height affected, 80% coverage";"87= 80% plant height affected, 70% coverage";"83= 80% plant height affected, 30% coverage";"84= 80% plant height affected, 40% coverage";"85= 80% plant height affected, 50% coverage";"86= 80% plant height affected, 60% coverage";"91= 90% plant height affected, 10% coverage";"90= 90";"93= 90% plant height affected, 30% coverage";"92= 90% plant height affected, 20% coverage";"89= 80% plant height affected, 90% coverage";"88= 80% plant height affected, 80% coverage";"76= 70% plant height affected, 60% coverage";"77= 70% plant height affected, 70% coverage";"74= 70% plant height affected, 40% coverage";"75= 70% plant height affected, 50% coverage";"72= 70% plant height affected, 20% coverage";"73= 70% plant height affected, 30% coverage";"82= 80% plant height affected, 20% coverage";"81= 80% plant height affected, 10% coverage";"80= 80";"79= 70% plant height affected, 90% coverage";"78= 70% plant height affected, 80% coverage";"70= 70";"71= 70% plant height affected, 10% coverage";"68= 60% plant height affected, 80% coverage";"69= 60% plant height affected, 90% coverage";"64= 60% plant height affected, 40% coverage";"63= 60% plant height affected, 30% coverage";"62= 60% plant height affected, 20% coverage";"61= 60% plant height affected, 10% coverage";"67= 60% plant height affected, 70% coverage";"66= 60% plant height affected, 60% coverage";"65= 60% plant height affected, 50% coverage";"58= 50% plant height affected, 80% coverage";"59= 50% plant height affected, 90% coverage";"60= 60";"51= 50% plant height affected, 10% coverage";"50= 50";"53= 50% plant height affected, 30% coverage";"52= 50% plant height affected, 20% coverage";"55= 50% plant height affected, 50% coverage";"54= 50% plant height affected, 40% coverage";"57= 50% plant height affected, 70% coverage";"56= 50% plant height affected, 60% coverage";"48= 40% plant height affected, 80% coverage";"49= 40% plant height affected, 90% coverage";"00= no disease";"46= 40% plant height affected, 60% coverage";"12= 10% plant height affected, 20% coverage";"45= 40% plant height affected, 50% coverage";"13= 10% plant height affected, 30% coverage";"44= 40% plant height affected, 40% coverage";"10= 10";"43= 40% plant height affected, 30% coverage";"11= 10% plant height affected, 10% coverage";"42= 40% plant height affected, 20% coverage";"16= 10% plant height affected, 60% coverage";"41= 40% plant height affected, 10% coverage";"17= 10% plant height affected, 70% coverage";"40= 40";"14= 10% plant height affected, 40% coverage";"39= 30% plant height affected, 90% coverage";"15= 10% plant height affected, 50% coverage";"47= 40% plant height affected, 70% coverage";"38= 30% plant height affected, 80% coverage";"33= 30% plant height affected, 30% coverage";"32= 30% plant height affected, 20% coverage";"35= 30% plant height affected, 50% coverage";"34= 30% plant height affected, 40% coverage";"29= 20% plant height affected, 90% coverage";"28= 20% plant height affected, 80% coverage";"31= 30% plant height affected, 10% coverage";"30= 30";"37= 30% plant height affected, 70% coverage";"36= 30% plant height affected, 60% coverage"
